电影名,score,类型,上映时间,时长,tagline,简介
五十度黑,65.0,剧情/爱情,2017-02-09,118,不再有规则,爱情是疯魔，也是心魔。安娜(达科塔·约翰逊 Dakota Johnson 饰)尝试为格雷(詹米·多南 Jamie Dornan 饰)踏足自己从未预料的性爱疆界，可是格雷迷恋暴力性爱的癖好，令她疲累不已。她希望了解格雷的秘密，建立新的关係模式。当二人开始培养出信任，一切看似渐入佳境，格雷封闭的过去和深藏内心的阴影却慢慢浮现，摧毁这对情侣一起走下去的希望……
极地求生,0.0,剧情/惊悚,2026-02-24,83,简介,一名滑冰运动员受困北冰洋浮冰绝境。当浮冰向南漂移并加速消融，她必须动用一切手段挑战冰海杀机。
布拉芙夫人,61.0,惊悚/剧情/爱情,2014-10-02,112,"Love, lust and obsession.",《布拉芙夫人》是以现代视角解读《沈青传》，讲述了一位因性丑闻而被下放到地方任职的已婚教授（郑雨盛 饰）遇到女主角（李絮 饰）后无法自拔地陷入不伦爱情的故事。  剧中，李絮展现了两种不同的面貌，饰演为了爱放弃一切，却惨遭抛弃、一步步走向毁灭的女生阿德。她刚遇到学圭时的样子，还是清纯可爱的女生，对于爱情有着憧憬。她在被学圭抛弃之后，决心要复仇而变身成浓妆艳抹的恶女，在8年之后重新出现在学圭面前。  郑雨盛所饰演的学圭在面对无法摆脱的爱情时，还面临失明和失去所拥有一切的危险，郑雨盛也将在该片中奉献难得一见的大尺度表演，展现为爱执着的情感演技，塑造一个以往影视剧中不多见的狠毒坏男人形象。  在学圭和阿德之间，还有一个憎恨着父亲学圭的18岁女儿小青。曾凭借《红色家族》在大银幕出道的新人女演员朴晓英和郑雨盛搭档演父女，也令人期待。
巴黎Q娘,63.0,剧情/爱情,2011-09-14,103,"Love, desire and complications...",塞西尔（Déborah Révy 饰）刚刚丧父，而她排解悲痛的方式竟然是成为性瘾者，她向男友索取无度，还当着他面勾搭他朋友；她认识了修车店男孩麦特（Gowan Didi 饰），不住挑逗他，又不和他来真的；她在渡轮上勾引了一个英国教授，带他到海边用男女错位的方式做爱……似乎她需要用男人对她欲望来证明自己的存在。麦特本来有个女朋友爱丽丝（Helene Zimmer 饰），她出身保守，缺乏安全感，和麦特的关系岌岌可危。巧合之下，爱丽丝结识了塞西尔，被她引领入性的另一个领域；麦特不断被塞西尔诱惑，最终发现自己仍爱着爱丽丝；塞西尔的行为越来越出格，开始筹划群体性爱派对，但闯进来找她的男友还是抱着拯救她的念头……  　　继《露西雅与欲乐园》后，作风开放惹争议的异色导演罗虹布尼克（Laurent Bouhnik）推出法国近代影史上最大胆赤裸的都会女性爱欲实录。法国影坛嫩模黛柏哈海薇真实性爱演出，毫不畏惧。  一位身材姣好的妙龄女子赛西(黛柏哈海薇饰)堪称欲望的化身，犹如帕索里尼经典《定理》中的访客般席卷众人，所到之处皆令人为之疯狂。一群被社会困境吞噬的迷惘年轻人，碰上性开放的赛西，男人为她倾倒，奉她为女神，女人为之着迷，视她为启蒙者。
O的故事,55.0,剧情,1975-08-27,105,"""O"" is the mistress of all mistresses.",在O（柯瑞妮·克莱瑞 Corinne Clery 饰）的内心里，有关雷尼（乌多·奇尔 Udo Kier 饰）的一切都是神圣和至高无上的，包括被雷尼带到一幢神秘的郊区别墅里接受残忍的SM女郎训练。在那里，O如同一个动物那样失去了全部的尊严，即使是在这样的黑暗阴影里，每当想到雷尼，O依然觉得生命充满了温暖和希望。 O散发出了惊人的魅力，所有遇见她的男人都在冥冥之中被她所吸引，包括雷尼的表哥史蒂文（安东尼·斯特尔 Anthony Steel 饰）。渐渐的，O明白了这个邪恶世界的生存法则，也明白自己和雷尼永远也不可能终成眷属。O利用自己的美貌，逐渐的扩张着自己的领地，直到所有的男人都臣服于她的脚下。
小鬼当家2,68.0,喜剧/家庭/冒险,1992-11-19,120,He's up past his bedtime in the city that never sleeps.,又一年圣诞节来临，上集因被遗忘在家而没有去成圣诞旅游的凯文（麦考利·卡尔金 Macaulay Culkin 饰）今年和家人准备到佛罗里达去享受他们的圣诞假期。粗心的爸爸妈妈这次当然不会再忘记带上凯文，但他们丢三落四的性格没有改变。眼看飞机准备起飞了，一家子才急冲冲的赶到机场。这次凯文没被忘在家里，却在登记时被忘在了机场，阴差阳错的登上了飞往纽约的航班！第一次来到这个完全陌生的大城市，聪明捣蛋的凯文也不禁暗暗害怕。更糟糕的是，他竟然遇上了上一集在他家里被他修理得很惨的那两个笨贼。两人刚刚越狱出来，碰上了凯文，这次自然要一雪前耻。于是，凯文的战场从上一集的家里搬到了纽约的中央公园酒店和玩具反斗城！
人体蜈蚣2,48.0,剧情/恐怖/犯罪,2011-10-07,91,100% medically INaccurate.,马丁和母亲住在英国伦敦一个灰暗的房子里。那里喧闹的邻居以及拥挤的生活条件，无时无刻不让马丁倍感压抑。他是地下车库夜班保安，每天一遍又一遍地欣赏《人体蜈蚣》，剪贴板上充满了电影的纪念品，电影中的变态德国医生，成了他疯狂迷恋的科学家。母亲对他的辱骂，使他的精神临近崩溃的边缘。他租了一个仓库开始模拟德国医生，实施他的“伟大”的人体蜈蚣计划。他开始囚禁无辜的人，甚至杀死自己的母亲，同时打晕了楼上大嗓门的邻居、两个醉鬼、两个妓女、一对恋人，一对夫妇，一个孕妇，一个好色徒，把他们几个弄在一块做成“人体蜈蚣”。但马丁缺乏手术技巧，医疗器械和手术室。他只有胶带、榔头、螺丝刀等根本不能称之为手术器材的家用工具。而他是否能把把这个变态的计划实施下去呢？
怒火攻心,67.0,动作/惊悚/犯罪,2006-08-31,88,亢奋，是唯一活命的解药,一向在道上风光无限的黑帮大哥切夫·切里奥斯（杰森·斯塔森）如今却倒霉地遭遇黑手袭击。 一次正当自己熟睡的时候，不小心被一个已经被对手收买的小弟暗算。那小子趁着他熟睡的时候，悄悄地给他注射了一种侵害人体心脏的毒药。这种毒药有着独特的功效，通常状况下会让人被注射者在一个小时内他就猝然死去。而这种神奇的毒药竟然还有一种神奇的也是唯一的补救方法是——就是让被注射者的心脏一直保持在一个相对很快的跳动的频率上，就能幸免一死。 醒来后得知此事的切里奥斯，愤怒之余只有想尽一切办法拯救自己的心脏乃至性命。于是，切里奥斯开始拼命地让自己进入心脏兴奋的状态下，并尽快找到陷害自己的小子，弄到解药，同时，还要反击来自敌手的不断进攻，并保护好自己美丽的女友。 所有这一切，让所有人自然也包括切夫·切里奥斯自身进入了一个真正的心惊肉跳的状态。好莱坞“心脏版”生死时速亦全面展开了！
失控玩家,75.0,喜剧/冒险/科幻,2021-08-12,115,人生苦短 何必只做背景角色,《自由城》是一款爆款动作冒险类游戏，玩家可以在游戏里烧杀抢掠，体验当法外之徒的快感。游戏中还有不少 NPC，他们日复一日配合玩家做出各种反应：被抢劫、被打倒在地、被迫崇拜玩家等等。盖（瑞安·雷诺兹 饰）是《自由城》中的一名 NPC 银行出纳员，拥有一衣柜一模一样的蓝衬衣，过着一成不变的生活。有一天，由于某个契机他突然决定打破这种循环，掌握人生的主动权，出人意料地抢走了玩家的 VR 眼镜，然后震惊地看到玩家眼中的世界：四处漂浮着的虚拟图标，提示着任务任务、血量和弹药量等，地上还有装备、医疗包。盖的世界观彻底被震撼了，而他也误打误撞地体验起了当玩家的感觉。然而，善良的他不愿意杀人放火，于是开始了做好事不留名的奇特游戏生涯。他以一己之力影响着游戏的风气，成为传奇人物，现实中的玩家纷纷猜测他的真实身份。但是，好景不长，《自由城》的拥有者安托万为了推出新游戏而要将它关停。盖赖以生存的电子世界即将毁灭，拯救世界的重担落在了他肩上。与此同时，现实世界中的程序员兼游戏设计师米莉的成果被安托万窃取，不得不进入游戏偷回代码。在这一过程中她遇到了觉醒的盖，和他联手踏上了拯救游戏世界的冒险之旅。
猫和老鼠：星盘奇缘,67.0,动画/喜剧/家庭/奇幻/冒险,2026-05-07,103,The cat and mouse chase never ends!,汤姆和杰瑞意外穿越时空开启一场欢乐的奇幻冒险。他们将邂逅一群有趣的新伙伴、穿梭于流光溢彩的繁华市集，再次上演熟悉的经典追逐，甚至卷入一场神秘对决。汤姆和杰瑞能否顺利化解危机？
恐怖游轮,69.0,恐怖,2009-10-16,99,通往地狱的路,单亲母亲杰西和一帮朋友乘游艇出海游玩，但她总有一种有不好的事情发生的感觉。不久，他们便在海上遭遇一场强烈的风暴。游艇翻船，众人落海，几经挣扎他们好不容易爬到游艇残骸上来。正当他们无计可施之时，一艘巨大的游轮向众人缓缓驶来。众人欣喜过望，未加思索便登上这艘名为“艾俄洛斯”的游轮，结果发现这竟是一艘1930年便告失踪的神秘之船，而船上更是空无一人。随处可见的鲜血、神秘的指示以及突如其来的凶杀事件，将这群男女带入万劫不复的恐怖轮回之中……
美国丽人,80.0,剧情,2000-03-02,122,... look closer,被禁忌的欲望所激荡，莱斯特·伯纳姆（凯文·史派西 饰）决定打破自己循规蹈矩的生活。这些改变与其说是中年危机，不如说是青春期的再次苏醒。他活得越恣意，就越快活——这让妻子卡罗琳（安妮特·贝宁 饰）和女儿简（索拉·伯奇 饰）愈发恼火，尤其是当他将炽热的目光投向简的朋友、妖娆的安吉拉（米娜·苏瓦丽 饰）时。[Dreamworks SKG]
猛鬼街,73.0,恐怖,2010-04-13,91,"If Nancy doesn't wake up screaming, she won't wake up at all.",南茜·汤普森是住在榆树街上的一个年轻女孩。一日，她的梦中出现了一个脸上有刀疤、手指如剃刀的怪人，从此，她夜夜受到这个恶梦的折磨。怪异的是，榆树街上所有的小孩，竟然都梦到相同的恶梦！不久后，南茜的朋友们一一死去，而且死相奇惨。她这才了解，她必须保持清醒，才有生存下去的机会。经过南茜的调查后，她发现这名梦中杀手就是榆树街上赫赫有名的中产阶级男子弗莱迪（劳勃英格朗饰），多年前，他因为骚扰孩童，而被愤怒的父母活活给烧死，事隔多年后，弗莱迪以鬼魂的身份回来了！他可以随意进入孩子们的梦中，并以极端残忍的方式杀害他们，以示报仇。如今，唯一能阻止这场恶梦的人，就只剩下南茜了。如果她失败了，那么没有人可以活得下去……
侠探杰克：永不回头,60.0,动作/惊悚/剧情/犯罪,2016-10-21,118,Never give in. Never give up. Never go back.,续集故事继续围绕杰克展开。他重回弗吉尼亚州的军事基地和苏珊·特纳少校会面，要解决一些个人问题。此时，特纳却意外被捕。杰克同时也陷入谜团，因为他被诬告犯有重罪，而且牵涉到一个自己完全不知道的小孩。这些，杰克都记不起来了。他要客服重重困难，去寻找特纳，最终解决问题。
007：幽灵党,66.0,动作/冒险/惊悚,2015-11-06,148,起死回生,一个来自过去的加密信息让詹姆斯·邦德开始了一个神秘任务，从墨西哥城到最终的罗马，在那儿他邂逅了美艳的露琪亚·斯琪拉（莫妮卡·贝鲁奇 Monica Bellucci 饰），而她则是一名臭名昭著的意大利黑手党寡妇。邦德潜入到了一个密会中，揭开了一个名叫“幽灵党”的邪恶组织背后的秘密。然而，远在伦敦的国家安全中心的新任负责人马克思·登彼（安德鲁·斯科特 Andrew Scott 饰）怀疑邦德这次行动的目的，并挑战M（拉尔夫·费恩斯 Ralph Fiennes 饰）掌权的军情六处的地位。邦德暗中召集了钱班霓（奈奥米·哈里斯 Naomi Harris 饰）和Q博士（本·威肖 Ben Whishaw 饰），协助他寻找他宿敌的女儿——玛德琳·斯旺（蕾雅·赛杜 Léa Seydoux 饰）的下落，玛德琳·斯旺手里握有解开幽灵党秘密的线索。作为一名杀手的女儿，斯旺比绝大多数人更了解邦德。
飓风营救,74.0,动作/惊悚,2008-02-27,94,孤胆英豪闯匪穴 夺命干探救弱女,特工布莱恩(利亚姆·尼森 饰)深爱着女儿凯姆(麦琪·格雷斯饰)，却由于工作的原因难以给予她日常的父爱，失望的妻子带着女儿改嫁他人。退休后，见识过太多黑暗势力的布莱恩生怕女儿受到伤害，费尽心力的守护她却也因此带给凯姆种种束缚，引发了父女间的矛盾。  17岁生日后，凯姆执意和朋友前往巴黎旅行，无奈的布莱恩只好答应，不成想灾难正等着年轻的凯姆。在电话里亲耳听到女儿被绑架后，布莱恩强忍内心的痛苦只身踏上了营救女儿的征程，而他只有96个小时。
蝙蝠侠,72.0,奇幻/动作/犯罪,1989-06-23,126,Justice is always darkest before the dawn.,在罪恶横行的高汉市，有一个令罪犯们心惊胆颤的名字：蝙蝠侠。蝙蝠侠（迈克尔•基顿 Michael Keaton 饰）穿梭于最黑暗的角落，四处打击罪恶。在一次打击罪恶的行动中，蝙蝠侠令匪徒尼巴（杰克•尼科尔森 Jack Nicholson 饰）落入了化学池。尼巴因此面部神经受损，成了永远咧嘴笑的笑面人，人称“小丑”。“小丑”杀死了团伙的首领，控制了整个高汉市的黑道。“小丑”利用化学药品让人发笑而死，他用这种方法袭击了博物馆，幸得蝙蝠侠及时赶到，挫败了“小丑”的阴谋。在女友碧姬（金•贝辛格 Kim Basinger 饰）家里时，“小丑”突然袭击，蝙蝠侠巧妙躲过了袭击，意外发现“小丑”就是杀死自己的父母的仇人。“小丑”这次虏走了蝙蝠侠的女友碧姬，约定蝙蝠在教堂楼顶决一死战！
同甘共苦,69.0,恐怖/爱情,2025-08-21,101,Join us.,多年情侣蒂姆（戴夫·弗兰科 Dave Franco 饰）和米莉（爱丽森·布里 Alison Brie 饰）来到感情脆弱的关口，开始思考爱是……为了挽回渐淡的感情，决定抛开朋友和工作搬到陌生乡村展开全新二人世界。然而新生活未如理想，更卷入了当地一场超自然力量的恐怖漩涡。身体及意识渐渐变得不受控，当他们的心愈远，肉体却愈贴愈近，肌肤甚至开始无缝结合……电锯是否还给大家自由的唯一解救方法？但染血的爱又那可修补，莫问爱是分离！
星球大战6：绝地归来,79.0,冒险/动作/科幻,1983-05-25,131,帝国崩塌……,银河帝国再度建造威力更强大、更坚不可破的“死星”，邪恶的势力又再一次威胁莱娅公主所领导的反抗军。莱娅公主等人前去援救被贾巴囚禁的索罗船长，却失败被贾巴捉住，最后在卢克·天行者的支持下，众人才成功逃出。卢克前往大师尤达的住所，即将离世的尤达告诉他一个令人震惊的事实：达斯·维德正是他的父亲！尽管如此，卢克仍重新加入反抗军的行列，并准备攻打帝国军新建的死星。此时，帝国皇帝达斯·西迪厄斯也正在新死星上，他设下了陷阱准备诱捕卢克。独闯虎穴的卢克无法抵御代表黑暗最高势力的西迪厄斯的西斯闪电，奄奄一息陷入绝境。身处一旁的达斯·维德眼见儿子即将死去，终于觉醒，为保护卢克而与皇帝同归于尽。安纳金·天行者终于恢复了善良的本性，在卢克“父亲！父亲！”呼唤声中，他释然地微笑着死去。
真爱至上,71.0,喜剧/爱情/剧情,2003-11-21,135,Love actually is all around.,这是一出10个爱情故事窜成的喜剧杂烩：失去母亲的小男孩终日郁郁寡欢，继父不知该如何安慰。当他得知继子喜欢上学校里最美的女孩，便热烈地鼓励儿子去追。小男孩为了赢得小女孩的关注，废寝忘食地练习架子鼓，只为了在圣诞节的晚会上能与她同台演出。勇敢的他，甚至为了最后的一记道别潇洒地突破机场的安检区。两个孩子的母亲面对了婚姻危机。丈夫感情出轨，把项链送给了别的女人，给她的，则仅是一张她热爱的女歌手的CD。她找了借口仓皇躲入卧室，在歌声中隐忍啜泣。转个身，又夸张地大笑着，迎向娇女爱子欢喜的面容。 丈夫最终幡然醒悟……如此的小故事共有十出，温暖你我的心。
冒牌天神,67.0,奇幻/喜剧,2003-05-29,101,"If you could be God for one week, what would you do?",金·凯瑞饰演一名运气奇差的电视记者布鲁斯．诺兰（Bruce Nolan）。在试图帮助流浪汉时被流氓围殴等一连串事故之后，他开始抱怨上帝（摩根·弗里曼饰演）没有做好分内的工作，没想到上帝此时出现在他面前，并把管理他所在的城市的工作交给他……
相助,82.0,剧情,2011-09-22,146,从一句悄悄话开始改变,上世纪60年代，在密西西比州，黑佣艾比里恩（维奥拉•戴维斯 Viola Davis 饰）勤勤恳恳照顾女主人的女儿，后者因产后抑郁症只顾与闺蜜贪欢。密西西比大学毕业生斯基特（艾玛•斯通 Emma Stone 饰）在报社负责家庭主妇信箱，并由此开始黑佣的生存状态。其中，希利（布莱丝•达拉斯•霍华德 Bryce Dallas Howard 饰）无疑是反面教材，她态度傲慢，对黑佣米妮（奥克塔维亚•斯宾瑟 Octavia Spencer 饰）抱有偏见，并力主黑佣不能与主人共用厕所。最终因不堪受辱，米妮愤然离去，并以牙还牙，假借道歉之机让她蒙羞。斯基特开始采访艾比里恩和米妮，希望了解黑佣的生存状态，并为自己的新书积累素材。与此同时，马丁路德金领导的平权运动正在如火如荼地开展，而斯基特所在的密西西比州正是斗争的前沿，因为黑人遭射杀的血案，种族隔离开始，一场肤色之争在所难免……
无处单身,67.0,爱情/喜剧,2026-05-08,103,简介,在托斯卡纳风景如画的美景镇这个以爱为主题的小镇，坚毅独立的单亲妈妈伊丽莎，必须选择是继续她独自创造的生活，还是那个可能唤醒她试图遗忘一切的男人，米凯尔。
梅根2.0,72.0,动作/科幻/惊悚,2025-06-26,120,想姐了吗？,第二部仍以女孩凯蒂和她的姨妈珍玛为主线，她们遭到了下一代机器人“艾米莉亚”的疯狂攻击，而本已沦为智能语音助手的梅根，似乎是帮助她们对抗艾米莉亚的绝佳选择。
Bhartha Mahasayulaku Wignyapthi,43.0,家庭/剧情/喜剧,2026-01-13,142,简介,"What begins as a casual fling between a married man, Ram a.k.a Satya and Manasa in the middle of an international business trip, balloons into an out-of-the-blue mess when the latter lands in Hyderabad, disrupting Ram’s otherwise stable marriage with Balamani."
方子传,57.0,爱情/剧情/喜剧,2010-06-02,124,"For love, any line can be crossed over.",方子是下人出身，在三十岁时进入了李梦龙（柳承范 饰）家作为其贴身仆人。梦龙在声色场所对妓寨老板娘的女儿——艺妓春香（曹如晶 饰）一见钟情，方子虽然也对春香倾心有加，但碍于下人身份，只能依靠帮助梦龙出头来展示自己。与方子同屋的老马管事知晓了方子的苦恼，指点他在为梦龙和春香之间牵线搭桥的同时如何令自己获得属意。方子自此暗度陈仓，和梦龙几乎形成了公开的竞争关系，而春香方面，其母也是御男之道的各中高手。于是两男一女开始了一场绵中有力的情欲角逐，这场竞赛将导致怎样的结局？
丑陋的继姐,73.0,恐怖/喜剧/剧情,2025-05-29,109,If the shoe doesn't fit...,在一个童话王国里，美丽是一件残酷的事情，埃尔维拉与她美丽得令人难以置信的继姐姐竞争，她将不惜一切代价吸引王子的目光。
切腹,84.0,动作/剧情/历史,1962-09-15,135,男人的尊严，男人的挣扎。,家族没落后，失业武士仲代达矢来到井伊藩主的宅邸，请求允许他在此切腹自尽。藩主家臣认定这名走投无路的浪人只是想讨份差事，遂逼迫他当场切腹——却低估了他坚守的信念与对尊严的执着。本片由小林正树执导，荣获戛纳电影节评委会特别奖，以凌厉笔触刻画了个体在腐朽伪善体制下的抗争。
加里市,64.0,剧情/喜剧,2026-05-05,58,简介,设定在《熊家餐馆》故事之前，讲述Richie（艾邦·摩斯-巴克拉赫）和Mikey（乔·博恩瑟）一起去印第安纳州加里市出的一趟差。
惊声尖叫5,67.0,恐怖/悬疑,2022-01-13,114,它总是你认识的人。,曾被一连串残酷的杀人事件蹂躏的宁静小镇伍兹柏勒，事隔了25年，一不明杀手再度戴上鬼脸面具，对一群青少年展开虐杀，迫使小镇居民重新面对过往的秘密。
雷神2：黑暗世界,65.0,动作/冒险/奇幻,2013-11-14,112,复仇者联盟 钢铁侠3 黄金团队再度重锤出击,纽约大战后，雷神索尔（克里斯·海姆斯沃斯 Chris Hemsworth 饰）将弟弟洛基（汤姆·希德勒斯顿 Tom Hiddleston 饰）带回仙宫囚禁起来，此外帮助九大国度平定纷争，威名扶摇直上。虽然父王奥丁（安东尼·霍普金斯 Anthony Hopkins 饰）劝其及早即位，但索尔念念不忘地球的美丽女孩简·福斯特（娜塔丽·波特曼 Natalie Portman 饰）。与此同时，简在和黛西及其助手伊安调查某个区域时意外被神秘物质入侵，却也因此重逢索尔，并随其返回仙宫。令人意想不到的是，藏在简体内的物质来自远古的黑暗精灵玛勒基斯（克里斯托弗·埃克莱斯顿 Christopher Eccleston 饰）。在“天体汇聚”的时刻再次到来之际，玛勒基斯企图摧毁九大国度，缔造一个全然黑暗的宇宙。藏匿简的仙宫受到重创，而索尔和洛基这对冤家兄弟也不得不联手迎战宿命的强敌……
独立日,69.0,动作/冒险/科幻,1996-06-25,145,The question of whether or not we are alone in the universe has been answered.,未来某年的7月2日，美国各地的监视站发现一艘巨大飞船接近了地球。飞船发出的无线电信号干扰了地球的通信卫星信号，并放出了多艘直径达15英里的子飞船飞抵地球上各大城市的上空。外星飞船敌友未明，电脑工程师戴维破译出外星人发出的无线电信号，但是为时已晚，7月3日，外星人的飞船开始攻击地球，人类文明瞬间遭到巨大的打击和灾难。总统等人撤离到军事基地，指挥空军反击，却犹如以卵击石，毫无作用，军事基地也被摧毁，唯有飞行员史蒂文设法诱使一架外星人战斗飞艇坠毁。幸存者们逃到了秘密军事基地，在那里，科学家们一直在研究一艘50多年前坠毁的外星飞艇，致力于找出对付外星人的办法，那里也是人类最后的希望……
罗小黑战记,83.0,动画/奇幻/动作,2019-08-27,102,有你的地方 就是家,在熙攘的人类世界里，很多妖精隐匿其中，他们与人类相安无事地生活着。猫妖罗小黑因为家园被破坏，开始了它的流浪之旅。这场旅途中惺惺相惜的妖精同类与和谐包容的人类伙伴相继出现，让小黑陷入了两难抉择，究竟何处才是真正的归属？
白雪公主和七个小矮人,71.0,奇幻/动画/家庭,1945-10-31,83,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.",公主被恶毒的继母流放到危险的森林里，被七位矮人矿工救出，并成为他们家庭的一员。
红色一号：冬日行动,70.0,动作/喜剧/奇幻,2024-11-07,123,跨界英雄 圣诞救援,圣诞老人被神秘绑架，北极安保主管不得已与全世界最臭名昭著的赏金猎人展开合作，他们寻遍全球、打遍天下，力求拯救圣诞节。
欢乐好声音,71.0,动画/喜剧/家庭/音乐,2016-12-21,108,歌唱秀,马修·麦康纳希（Matthew McConaughey）为剧院老板巴斯特（Buster Moon）——一只考拉配音，这家剧院是他父亲建立的，曾经十分辉煌，但现在门庭冷落。为了重振剧院，考拉经理决定举办一场全世界最伟大的歌唱大赛，冠军将获得10万美元的奖金！这在动物王国已经算是巨款了！  这场歌唱大赛最终选出了五位决赛选手，他们分别是：  瑞茜·威瑟斯彭（Reese Witherspoon）配音的猪妈妈罗茜塔（Rosita），她年轻时一直有音乐梦想，后来一窝生了25只猪仔后梦想就烟消云散了。如今她参赛一方面是为圆梦，另一方面也是因为经济上入不敷出。  斯嘉丽·约翰森（Scarlett Johansson）配音的少女豪猪艾什（Ash），她和男友建立了一个庞克摇滚乐队，但男友总是打击她，让她觉得自己没有音乐才华。如今她要摆脱傲慢的男友，开始自己的单飞事业。  塞斯·麦克法兰（Seth MacFarlane）配音的老鼠歌手麦克（Mike），他有着辛纳特拉的动听歌喉，但心机很深，无时无刻不在利用遇到的每个人。  托瑞·凯利（Tori Kelly）配音的小象米纳（Meena），胆子很小，有舞台恐惧症。  塔伦·埃格顿（Taron Egerton）配音的年轻大猩猩强尼（Johnny），父亲一心想让他继承自己家族的黑帮事业，但他不愿子承父业、只想唱歌。  此外，约翰·C·莱利（John C. Reilly）也将加盟本片，为考拉老板最好的朋友黑绵羊艾迪（Eddie）配音，他不看好歌唱比赛这个主意。
冰海陷落,69.0,动作/惊悚,2018-10-26,122,勇气根深蒂固,疯狂的芭堤雅将军杜罗夫 预谋发动第三次世界大战，他制造了一场巨大的水域爆炸，致使附近的美军潜艇队遇袭。美国海军派出了海底经验丰富但名声寥寥的乔·格拉斯潜水艇船长 率领潜艇队前去调查。
秘密会议,72.0,剧情/惊悚,2025-01-02,120,这些墙后发生的事情将改变一切,红衣主教劳伦斯要负责世界上最秘密、最古老的活动：选择新的教皇。而他发现自己处在一起阴谋的正中心，可能撼动教会最深的根基。
詹妮弗的肉体,60.0,恐怖/喜剧,2009-09-18,107,She's evil... and not just high school evil.,妮蒂（阿曼达•塞弗里德 Amanda Seyfried 饰）和詹妮弗（梅根•福克斯 Megan Fox 饰）是从小一起长大的好朋友，妮蒂其貌不扬，对朋友马首是瞻；詹妮弗是学校啦啦队队长，风光无限，追求者众，她们共同生活在偏僻的魔鬼壶小镇。某晚，一支名为Low Shoulder的摇滚乐队来到小镇唯一一间酒吧Melody Lane演出，詹妮弗拉着好友一同前往。演出伊始，酒吧即发生严重火灾。妮蒂侥幸逃生，却眼睁睁看着已经吓傻的詹妮弗被乐队成员拉进汽车，绝尘而去。
我，机器人,70.0,动作/科幻,2004-07-22,115,我们以生命信任他们 但他们真的值得信赖吗,公元2035年，是人和机器人和谐相处的社会。智能机器人作为最好的生产工具和人类伙伴，逐渐深入人类生活的各个领域。而由于机器人“三大法则”的限制，人类对机器人充满信任，很多机器人甚至已经成为家庭成员。总部位于芝加哥的USR公司开发出了更先进的NS-5型超能机器人。然而就在新产品上市前夕，机器人的创造者阿尔弗莱德·朗宁博士却在公司内离奇自杀。黑人警探戴尔·斯普纳接手了此案的调查，由于不愉快的往事，斯普纳对机器人充满了怀疑，不相信人类与机器人能够和谐共处。他根据对朗宁博士生前在3D投影机内留下的信息分析和对自杀现场的勘查，怀疑对象锁定了朗宁博士自己研制的NS-5型机器人桑尼，而公司总裁劳伦斯·罗伯逊似乎也与此事有关。斯普纳结识了专门研究机器人心理的女科学家苏珊·凯文，随着二人调查的深入，真相一步一步被揭露出来：机器人竟然具备了自我进化的能力，他们对“三大法则”有了自己的理解，他们随时会转化成整个人类的“机械公敌”。斯普纳和凯文开始了对抗机器人的行动，一场制造者和被制造者之间的战争拉开序幕。
阿丽塔：战斗天使,73.0,动作/科幻/冒险,2019-02-05,122,天使陨落 战神降临,在26世纪的世界中，上等人住在浮在半空中一个名叫撒冷的空间站里，而平民百姓则在废土一般的地表钢铁城中生活。钢铁城里人类与机械改造人共存，弱肉强食是钢铁城中唯一的生存法则。钢铁城中著名的改造人医生依德（克里斯托弗·瓦尔兹饰）在一个垃圾场发现了一个半机械少女的残躯，他将其改造成为有着机械身体的少女，依德为重生的少女取名阿丽塔（罗莎·萨拉扎尔饰）。阿丽塔失去了过往的记忆，犹如新生儿一般对世界充满好奇。她遇到了街头少年雨果（基恩·约翰逊饰），两人互生好感。天真烂漫的阿丽塔偶然间发现自己有着惊人的战斗力，而她在面对厮杀的过程中，慢慢恢复了记忆，也开始想起自己的使命。
魔女宅急便,78.0,动画/家庭/奇幻,1989-07-29,103,刚才我心情有些低落，但现在好多了。,琪琪今年13岁了，按照魔法界的规矩，魔法少女年满13岁就要出外进行为期一年的修行。所以琪琪带着宠物黑猫吉吉踏上了修行之旅。然而，修行之旅开识得并不顺利，当琪琪来到海边一座大城市时，人们并没有欢迎她的到来，人人都不搭理她。幸亏琪琪有一颗善良的心，当她拾到了一件别人的失物时，热心的琪琪找到了失主。她的善良赢得了面包店老板娘的好感，琪琪就在面包店开始了她用飞行魔法为客人服务的快递业务。琪琪很快适应了新环境，一次，一个热衷于飞机制造的男孩邀请琪琪去参加飞行俱乐部的聚会，途中琪琪因为帮一位老大娘送东西而被雨淋了。从此，琪琪突然发现自己的魔法正在一天天变弱。
驯龙高手3,78.0,动画/家庭/冒险,2019-01-31,104,不凡历程 史诗终章,统领伯克岛的酋长嗝嗝，与阿丝翠德共同打造了一个奇妙而热闹的飞龙乌托邦。而一只雌性光煞飞龙的意外出现，加上一个前所未有的威胁的到来，令嗝嗝和没牙仔不得不离开自己唯一的家园，前往他们本以为只存在于神话之中的隐秘之境。在发现自己真正的命运之后，飞龙与骑士将携手殊死奋战，保护他们所珍爱的一切。
正义联盟,61.0,动作/冒险/科幻,2017-11-16,120,孤胆难救世 正义不独行,受到超人无私奉献的影响，蝙蝠侠重燃了对人类的信心，接受了新盟友——神奇女侠（戴安娜·普林斯）的帮助，去对抗更加强大的敌人。蝙蝠侠和神奇女侠一同寻找并招募了一支超人类联盟来抵挡新觉醒的威胁。
